,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
27,AAPL220114P00175000,2021-12-13 20:59:19,175.0,6.22,6.0,6.4,1.6199999,35.21739,405.0,630,0.3266668896484375,False,REGULAR,USD
28,AAPL220114P00177500,2021-12-13 20:59:17,177.5,7.5,5.0,7.6,1.9499998,35.135128,275.0,237,0.3205024005126953,True,REGULAR,USD
29,AAPL220114P00180000,2021-12-13 20:56:55,180.0,8.8,8.6,9.1,1.9000001,27.536234,609.0,190,0.3217841259765625,True,REGULAR,USD
30,AAPL220114P00182500,2021-12-13 20:55:42,182.5,10.24,8.0,12.0,1.4399996,16.36363,130.0,2,0.38684695190429685,True,REGULAR,USD
31,AAPL220114P00185000,2021-12-13 20:07:14,185.0,10.45,10.0,13.7,0.8499994,8.85416,69.0,131,0.38794557373046873,True,REGULAR,USD
32,AAPL220114P00187500,2021-12-13 17:15:38,187.5,11.76,11.5,16.0,11.76,,4.0,0,0.4158993957519531,True,REGULAR,USD
33,AAPL220114P00190000,2021-12-13 20:52:38,190.0,16.01,14.0,17.95,2.21,16.014492,8.0,421,0.42163664306640625,True,REGULAR,USD
34,AAPL220114P00192500,2021-12-13 15:24:12,192.5,14.85,15.75,20.5,14.85,,12.0,0,0.4585015087890626,True,REGULAR,USD
35,AAPL220114P00195000,2021-12-13 20:54:55,195.0,20.4,18.05,22.5,3.25,18.950438,80.0,6,0.46094289062500005,True,REGULAR,USD
36,AAPL220114P00200000,2021-12-13 16:44:53,200.0,23.4,23.0,27.3,0.54999924,2.4069986,11.0,13,0.5079394909667969,True,REGULAR,USD
37,AAPL220114P00205000,2021-12-08 19:23:45,205.0,30.9,27.4,31.8,0.0,0.0,,5,0.5282029602050782,True,REGULAR,USD
38,AAPL220114P00210000,2021-12-13 20:54:22,210.0,34.4,32.4,36.7,3.4000015,10.967747,2.0,6,0.571415418701172,True,REGULAR,USD
